Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
DKS4 | 2.4699617156123095 | -4.020420723131611 
D4DK | 2.469961715612309 | -4.020420723131611 
D4HK | 2.469961715612309 | -4.020420723131611 
H4HK | 2.469961715612309 | -4.020420723131611 
HKS4 | 2.469961715612309 | -4.020420723131611 
DKH4 | 2.4699617156123086 | -4.020420723131611 
DKS5 | 2.469959149508944 | -4.020420925177559 
D5DK | 2.4699591495089437 | -4.020420925177559 
D5HK | 2.4699591495089437 | -4.020420925177559 
H5HK | 2.4699591495089437 | -4.020420925177559 
HKS5 | 2.4699591495089437 | -4.020420925177559 
DKH5 | 2.4699591495089432 | -4.020420925177559 
D6HK | 2.4699565247797306 | -4.020421347497828 
DKS6 | 2.4699565247797306 | -4.0204213474978285 
H6HK | 2.4699565247797306 | -4.020421347497828 
D6DK | 2.46995652477973 | -4.0204213474978285 
DKH6 | 2.46995652477973 | -4.0204213474978285 
HKS6 | 2.46995652477973 | -4.0204213474978285 
DKS8 | 2.4695706222776233 | -4.221264346614248 
HKS8 | 2.4695706222776233 | -4.221264346614248 
D8DK | 2.4695706222776224 | -4.221264346614248 
D8HK | 2.4695706222776224 | -4.221264346614249 
H8HK | 2.4695706222776224 | -4.221264346614248 
DKH8 | 2.469570622277622 | -4.221264346614248 
DKS7 | 2.4691530485152366 | -4.020412601560916 
D7DK | 2.469153048515236 | -4.020412601560917 
D7HK | 2.469153048515236 | -4.020412601560917 
H7HK | 2.469153048515236 | -4.020412601560916 
HKS7 | 2.469153048515236 | -4.020412601560916 
DKH7 | 2.4691530485152358 | -4.020412601560917 
C2D4 | 2.4 | -2.4 
C2D5 | 2.4 | -2.4 
C2D6 | 2.4 | -2.4 
C2H4 | 2.4 | -2.4 
C2H5 | 2.4 | -2.4 
C2H6 | 2.4 | -2.4 
C2S4 | 2.4 | -2.4 
C2S5 | 2.4 | -2.4 
C2S6 | 2.4 | -2.4 
C4D2 | 2.4 | -2.4 
C4D5 | 2.4 | -2.4 
C4D6 | 2.4 | -2.4 
C4H2 | 2.4 | -2.4 
C4H5 | 2.4 | -2.4 
C4H6 | 2.4 | -2.4 
C4S2 | 2.4 | -2.4 
C4S5 | 2.4 | -2.4 
C4S6 | 2.4 | -2.4 
C5D2 | 2.4 | -2.4 
C5D4 | 2.4 | -2.4 
C5D6 | 2.4 | -2.4 
C5H2 | 2.4 | -2.4 
C5H4 | 2.4 | -2.4 
C5H6 | 2.4 | -2.4 
C5S2 | 2.4 | -2.4 
C5S4 | 2.4 | -2.4 
C5S6 | 2.4 | -2.4 
C6D2 | 2.4 | -2.4 
C6D4 | 2.4 | -2.4 
C6D5 | 2.4 | -2.4 
C6H2 | 2.4 | -2.4 
C6H4 | 2.4 | -2.4 
C6H5 | 2.4 | -2.4 
C6S2 | 2.4 | -2.4 
C6S4 | 2.4 | -2.4 
C6S5 | 2.4 | -2.4 
D2D4 | 2.4 | -2.4 
D2D5 | 2.4 | -2.4 
D2D6 | 2.4 | -2.4 
D2H4 | 2.4 | -2.4 
D2H5 | 2.4 | -2.4 
D2H6 | 2.4 | -2.4 
D2S4 | 2.4 | -2.4 
D2S5 | 2.4 | -2.4 
D2S6 | 2.4 | -2.4 
D4D5 | 2.4 | -2.4 
D4D6 | 2.4 | -2.4 
D4H2 | 2.4 | -2.4 
